area_name,area_code,date,new_cases,total_cases
Enfield,E09000010,24 06 2021,50,30573
Enfield,E09000010,25 06 2021,31,30604
Enfield,E09000010,26 06 2021,46,30650
Enfield,E09000010,27 06 2021,40,30690
Enfield,E09000010,28 06 2021,57,30747
Enfield,E09000010,29 06 2021,60,30807
Enfield,E09000010,30 06 2021,58,30865
Enfield,E09000010,01 07 2021,61,30926
Enfield,E09000010,02 07 2021,45,30971
Enfield,E09000010,03 07 2021,76,31047
Enfield,E09000010,04 07 2021,49,31096
Enfield,E09000010,05 07 2021,95,31191
Enfield,E09000010,06 07 2021,101,31292
Enfield,E09000010,07 07 2021,76,31368
Enfield,E09000010,08 07 2021,66,31434
Enfield,E09000010,09 07 2021,74,31508
Enfield,E09000010,10 07 2021,71,31579
Enfield,E09000010,11 07 2021,83,31662
Enfield,E09000010,12 07 2021,126,31788
Enfield,E09000010,13 07 2021,127,31915
Enfield,E09000010,14 07 2021,144,32059
Enfield,E09000010,15 07 2021,171,32230
Enfield,E09000010,16 07 2021,191,32421
Enfield,E09000010,17 07 2021,135,32556
Enfield,E09000010,18 07 2021,130,32686
Enfield,E09000010,19 07 2021,191,32877
Enfield,E09000010,20 07 2021,147,33024
Enfield,E09000010,21 07 2021,151,33175
Enfield,E09000010,22 07 2021,120,33295
Enfield,E09000010,23 07 2021,115,33410
Enfield,E09000010,24 07 2021,99,33509
Enfield,E09000010,25 07 2021,83,33592
Enfield,E09000010,26 07 2021,112,33704
Enfield,E09000010,27 07 2021,91,33795
Enfield,E09000010,28 07 2021,120,33915
Enfield,E09000010,29 07 2021,84,33999
Enfield,E09000010,30 07 2021,104,34103
Enfield,E09000010,31 07 2021,65,34168
Enfield,E09000010,01 08 2021,84,34252
Enfield,E09000010,02 08 2021,97,34349
Enfield,E09000010,03 08 2021,115,34464
Enfield,E09000010,04 08 2021,120,34584
Enfield,E09000010,05 08 2021,107,34691
Enfield,E09000010,06 08 2021,109,34800
Enfield,E09000010,07 08 2021,99,34899
Enfield,E09000010,08 08 2021,85,34984
Enfield,E09000010,09 08 2021,119,35103
Enfield,E09000010,10 08 2021,117,35220
Enfield,E09000010,11 08 2021,123,35343
Enfield,E09000010,12 08 2021,119,35462
Enfield,E09000010,13 08 2021,127,35589
Enfield,E09000010,14 08 2021,87,35676
Enfield,E09000010,15 08 2021,86,35762
Enfield,E09000010,16 08 2021,129,35891
Enfield,E09000010,17 08 2021,110,36001
Enfield,E09000010,18 08 2021,103,36104
Enfield,E09000010,19 08 2021,100,36204
Enfield,E09000010,20 08 2021,89,36293
Enfield,E09000010,21 08 2021,80,36373
Enfield,E09000010,22 08 2021,85,36458
Enfield,E09000010,23 08 2021,119,36577
Enfield,E09000010,24 08 2021,109,36686
Enfield,E09000010,25 08 2021,135,36821
Enfield,E09000010,26 08 2021,92,36913
Enfield,E09000010,27 08 2021,81,36994
Enfield,E09000010,28 08 2021,97,37091
Enfield,E09000010,29 08 2021,99,37190
Enfield,E09000010,30 08 2021,77,37267
Enfield,E09000010,31 08 2021,105,37372
Enfield,E09000010,01 09 2021,114,37486
Enfield,E09000010,02 09 2021,131,37617
Enfield,E09000010,03 09 2021,105,37722
Enfield,E09000010,04 09 2021,81,37803
Enfield,E09000010,05 09 2021,89,37892
Enfield,E09000010,06 09 2021,130,38022
Enfield,E09000010,07 09 2021,125,38147
Enfield,E09000010,08 09 2021,101,38248
Enfield,E09000010,09 09 2021,105,38353
Enfield,E09000010,10 09 2021,90,38443
Enfield,E09000010,11 09 2021,85,38528
Enfield,E09000010,12 09 2021,62,38590
Enfield,E09000010,13 09 2021,75,38665
Enfield,E09000010,14 09 2021,84,38749
Enfield,E09000010,15 09 2021,64,38813
Enfield,E09000010,16 09 2021,79,38892
Enfield,E09000010,17 09 2021,78,38970
Enfield,E09000010,18 09 2021,77,39047
Enfield,E09000010,19 09 2021,98,39145
Enfield,E09000010,20 09 2021,109,39254
Enfield,E09000010,21 09 2021,100,39354
Enfield,E09000010,22 09 2021,110,39464
Enfield,E09000010,23 09 2021,118,39582
Enfield,E09000010,24 09 2021,109,39691
Enfield,E09000010,25 09 2021,88,39779
Enfield,E09000010,26 09 2021,87,39866
Enfield,E09000010,27 09 2021,142,40008
Enfield,E09000010,28 09 2021,100,40108
Enfield,E09000010,29 09 2021,88,40196
Enfield,E09000010,30 09 2021,100,40296
Enfield,E09000010,01 10 2021,117,40413
Enfield,E09000010,02 10 2021,91,40504
Enfield,E09000010,03 10 2021,125,40629
Enfield,E09000010,04 10 2021,124,40753
Enfield,E09000010,05 10 2021,137,40890
Enfield,E09000010,06 10 2021,147,41037
Enfield,E09000010,07 10 2021,141,41178
Enfield,E09000010,08 10 2021,122,41300
Enfield,E09000010,09 10 2021,122,41422
Enfield,E09000010,10 10 2021,95,41517
Enfield,E09000010,11 10 2021,150,41667
Enfield,E09000010,12 10 2021,124,41791
Enfield,E09000010,13 10 2021,117,41908
Enfield,E09000010,14 10 2021,150,42058
Enfield,E09000010,15 10 2021,105,42163
Enfield,E09000010,16 10 2021,94,42257
Enfield,E09000010,17 10 2021,125,42382
Enfield,E09000010,18 10 2021,172,42554
Enfield,E09000010,19 10 2021,167,42721
Enfield,E09000010,20 10 2021,138,42859
Enfield,E09000010,21 10 2021,130,42989
Enfield,E09000010,22 10 2021,133,43122
Enfield,E09000010,23 10 2021,113,43235
Enfield,E09000010,24 10 2021,88,43323
Enfield,E09000010,25 10 2021,147,43470
Enfield,E09000010,26 10 2021,145,43615
Enfield,E09000010,27 10 2021,145,43760
Enfield,E09000010,28 10 2021,113,43873
Enfield,E09000010,29 10 2021,134,44007
Enfield,E09000010,30 10 2021,114,44121
Enfield,E09000010,31 10 2021,106,44227
Enfield,E09000010,01 11 2021,126,44353
Enfield,E09000010,02 11 2021,112,44465
Enfield,E09000010,03 11 2021,106,44571
Enfield,E09000010,04 11 2021,104,44675
Enfield,E09000010,05 11 2021,83,44758
Enfield,E09000010,06 11 2021,73,44831
Enfield,E09000010,07 11 2021,82,44913
Enfield,E09000010,08 11 2021,113,45026
Enfield,E09000010,09 11 2021,130,45156
Enfield,E09000010,10 11 2021,120,45276
Enfield,E09000010,11 11 2021,120,45396
Enfield,E09000010,12 11 2021,112,45508
Enfield,E09000010,13 11 2021,102,45610
Enfield,E09000010,14 11 2021,105,45715
Enfield,E09000010,15 11 2021,154,45869
Enfield,E09000010,16 11 2021,131,46000
Enfield,E09000010,17 11 2021,129,46129
Enfield,E09000010,18 11 2021,146,46275
Enfield,E09000010,19 11 2021,128,46403
Enfield,E09000010,20 11 2021,79,46482
Enfield,E09000010,21 11 2021,98,46580
Enfield,E09000010,22 11 2021,169,46749
Enfield,E09000010,23 11 2021,150,46899
Enfield,E09000010,24 11 2021,154,47053
Enfield,E09000010,25 11 2021,158,47211
Enfield,E09000010,26 11 2021,152,47363
Enfield,E09000010,27 11 2021,114,47477
Enfield,E09000010,28 11 2021,119,47596
Enfield,E09000010,29 11 2021,177,47773
Enfield,E09000010,30 11 2021,193,47966
Enfield,E09000010,01 12 2021,214,48180
Enfield,E09000010,02 12 2021,195,48375
Enfield,E09000010,03 12 2021,175,48550
Enfield,E09000010,04 12 2021,133,48683
Enfield,E09000010,05 12 2021,118,48801
Enfield,E09000010,06 12 2021,55,48856
Greenwich,E09000011,11 02 2020,0,0
Greenwich,E09000011,12 02 2020,0,0
Greenwich,E09000011,13 02 2020,0,0
Greenwich,E09000011,14 02 2020,0,0
Greenwich,E09000011,15 02 2020,0,0
Greenwich,E09000011,16 02 2020,0,0
Greenwich,E09000011,17 02 2020,0,0
Greenwich,E09000011,18 02 2020,0,0
Greenwich,E09000011,19 02 2020,0,0
Greenwich,E09000011,20 02 2020,0,0
Greenwich,E09000011,21 02 2020,0,0
Greenwich,E09000011,22 02 2020,0,0
Greenwich,E09000011,23 02 2020,0,0
Greenwich,E09000011,24 02 2020,0,0
Greenwich,E09000011,25 02 2020,0,0
Greenwich,E09000011,26 02 2020,0,0
Greenwich,E09000011,27 02 2020,0,0
Greenwich,E09000011,28 02 2020,0,0
Greenwich,E09000011,29 02 2020,0,0
Greenwich,E09000011,01 03 2020,0,0
Greenwich,E09000011,02 03 2020,0,0
Greenwich,E09000011,03 03 2020,0,0
Greenwich,E09000011,04 03 2020,0,0
Greenwich,E09000011,05 03 2020,0,0
Greenwich,E09000011,06 03 2020,0,0
Greenwich,E09000011,07 03 2020,1,1
Greenwich,E09000011,08 03 2020,0,1
Greenwich,E09000011,09 03 2020,0,1
Greenwich,E09000011,10 03 2020,3,4
Greenwich,E09000011,11 03 2020,4,8
Greenwich,E09000011,12 03 2020,6,14
Greenwich,E09000011,13 03 2020,5,19
Greenwich,E09000011,14 03 2020,2,21
Greenwich,E09000011,15 03 2020,6,27
Greenwich,E09000011,16 03 2020,5,32
Greenwich,E09000011,17 03 2020,14,46
Greenwich,E09000011,18 03 2020,12,58
Greenwich,E09000011,19 03 2020,6,64
Greenwich,E09000011,20 03 2020,14,78
Greenwich,E09000011,21 03 2020,18,96
Greenwich,E09000011,22 03 2020,6,102
Greenwich,E09000011,23 03 2020,13,115
Greenwich,E09000011,24 03 2020,16,131
Greenwich,E09000011,25 03 2020,17,148
Greenwich,E09000011,26 03 2020,10,158
Greenwich,E09000011,27 03 2020,18,176
Greenwich,E09000011,28 03 2020,14,190
Greenwich,E09000011,29 03 2020,11,201
Greenwich,E09000011,30 03 2020,16,217
Greenwich,E09000011,31 03 2020,30,247
Greenwich,E09000011,01 04 2020,32,279
Greenwich,E09000011,02 04 2020,27,306
Greenwich,E09000011,03 04 2020,26,332
Greenwich,E09000011,04 04 2020,15,347
Greenwich,E09000011,05 04 2020,25,372
Greenwich,E09000011,06 04 2020,36,408
Greenwich,E09000011,07 04 2020,20,428
Greenwich,E09000011,08 04 2020,26,454
Greenwich,E09000011,09 04 2020,21,475
Greenwich,E09000011,10 04 2020,19,494
Greenwich,E09000011,11 04 2020,16,510
